x  y  frame  time(s)
120 90 1475 58.648655
120 92 1476 58.688417
126 100 1480 58.847464
136 114 1484 59.006511
142 126 1488 59.165558
144 130 1489 59.205320
146 134 1491 59.284844
150 140 1494 59.404129
152 144 1498 59.563176
152 144 1499 59.602938
152 144 1500 59.642700
152 142 1504 59.801747
152 144 1512 60.119842
152 144 1513 60.159603
152 144 1515 60.239127
152 144 1518 60.358412
152 144 1519 60.398174
152 144 1521 60.477698
152 142 1522 60.517460
154 142 1523 60.557221
154 140 1524 60.596983
158 130 1528 60.756030
158 128 1529 60.795792
162 118 1531 60.875316
174 90 1540 61.233172
176 86 1542 61.312696
178 86 1543 61.352457
178 84 1545 61.431981
178 84 1546 61.471743
178 84 1547 61.511505
178 84 1548 61.551266
178 84 1549 61.591028
178 84 1550 61.630790
178 84 1551 61.670552
178 84 1553 61.750075
178 84 1554 61.789837
178 84 1555 61.829599
178 84 1556 61.869361
178 84 1557 61.909123
178 84 1558 61.948884
178 84 1566 62.266979
176 84 1568 62.346502
178 84 1571 62.465788
176 90 1576 62.664597
174 92 1577 62.704359
174 94 1578 62.744120
172 96 1579 62.783882
166 114 1588 63.141738
164 116 1589 63.181500
164 118 1590 63.221262
164 118 1591 63.261024
164 120 1593 63.340547
164 120 1597 63.499595
164 120 1600 63.618880
164 120 1608 63.936974
164 120 1609 63.976736
164 120 1612 64.096022
164 120 1613 64.135783
164 120 1614 64.175545
164 120 1616 64.255069
164 120 1617 64.294831
164 120 1618 64.334592
164 122 1620 64.414116
164 120 1622 64.493640
162 116 1624 64.573163
154 92 1633 64.931019
150 84 1637 65.090067
146 76 1642 65.288876
148 76 1645 65.408161
148 76 1646 65.447923
148 76 1647 65.487685
146 74 1648 65.527446
148 74 1652 65.686494
148 74 1665 66.203397
148 74 1666 66.243159
148 78 1670 66.402206
154 88 1673 66.521491
160 100 1676 66.640777
160 100 1677 66.680539
166 112 1679 66.760062
176 134 1685 66.998633
180 140 1688 67.117918
180 142 1689 67.157680
180 142 1690 67.197442
180 142 1692 67.276966
180 142 1693 67.316727
180 142 1694 67.356489
180 142 1695 67.396251
180 142 1696 67.436013
180 142 1698 67.515536
180 142 1699 67.555298
180 142 1701 67.634822
180 142 1703 67.714345
180 142 1704 67.754107
180 142 1706 67.833631
180 142 1707 67.873393
180 142 1709 67.952916
182 140 1711 68.032440
184 136 1714 68.151725
184 136 1715 68.191487
186 130 1718 68.310772
188 130 1719 68.350534
190 126 1721 68.430058
190 126 1722 68.469820
194 120 1728 68.708390
194 118 1732 68.867438
194 118 1733 68.907199
194 118 1737 69.066247
194 118 1738 69.106008
194 118 1746 69.424103
194 120 1750 69.583150
194 118 1752 69.662674
174 120 1764 70.139815
170 120 1765 70.179577
168 120 1766 70.219339
150 122 1770 70.378386
138 122 1772 70.457910
134 122 1773 70.497671
122 124 1779 70.736242
122 124 1786 71.014575
122 124 1792 71.253146
122 124 1796 71.412193
122 124 1798 71.491716
120 124 1802 71.650764
118 126 1807 71.849573
116 130 1810 71.968858
114 130 1811 72.008620
112 134 1815 72.167667
110 134 1819 72.326714
110 136 1831 72.803856
108 136 1840 73.161712
108 136 1843 73.280997
108 136 1847 73.440045
110 136 1849 73.519568
110 138 1853 73.678615
110 138 1854 73.718377
110 140 1855 73.758139
110 142 1860 73.956948
110 146 1882 74.831708
112 146 1886 74.990755
118 142 1890 75.149802
122 138 1892 75.229326
146 120 1898 75.467896
170 102 1905 75.746229
178 98 1908 75.865514
178 96 1913 76.064323
178 96 1914 76.104085
178 96 1917 76.223371
178 96 1922 76.422180
178 96 1926 76.581227
174 94 1929 76.700512
170 92 1931 76.780036
168 92 1932 76.819798
162 88 1935 76.939083
148 82 1940 77.137892
138 78 1944 77.296939
132 78 1951 77.575272
132 76 1954 77.694557
132 76 1957 77.813843
134 78 1968 78.251222
134 78 1969 78.290984
136 82 1972 78.410270
140 82 1975 78.529555
142 82 1978 78.648840
144 84 1980 78.728364
144 86 1982 78.807888
144 86 1983 78.847649
144 86 1984 78.887411
146 88 1986 78.966935
146 88 1987 79.006697
146 88 1988 79.046458
146 86 1989 79.086220
148 86 1990 79.125982
148 86 1991 79.165744
148 86 1993 79.245267
148 86 1997 79.404315
