x  y  frame  time(s)
214 264 1517 25.293851
214 264 1518 25.310525
214 264 1521 25.360546
210 264 1524 25.410566
212 266 1526 25.443914
212 266 1527 25.460587
210 264 1529 25.493934
210 264 1530 25.510608
210 266 1536 25.610650
210 266 1544 25.744038
210 264 1549 25.827406
212 266 1551 25.860754
212 266 1552 25.877427
212 272 1561 26.027490
212 276 1563 26.060837
212 276 1564 26.077510
210 278 1565 26.094184
212 282 1567 26.127531
212 282 1568 26.144205
212 290 1572 26.210899
212 290 1573 26.227573
210 294 1575 26.260920
210 296 1576 26.277594
210 296 1577 26.294267
210 300 1579 26.327614
210 300 1580 26.344288
210 320 1595 26.594392
212 322 1597 26.627739
212 322 1598 26.644413
210 322 1603 26.727781
212 324 1605 26.761128
212 324 1606 26.777802
212 324 1607 26.794475
210 326 1616 26.944538
210 326 1625 27.094600
210 326 1626 27.111274
212 326 1627 27.127947
210 328 1636 27.278010
210 328 1637 27.294683
210 328 1638 27.311357
210 328 1639 27.328030
210 328 1645 27.428072
212 328 1646 27.444746
212 326 1650 27.511440
212 326 1651 27.528114
224 322 1658 27.644829
242 314 1665 27.761544
246 314 1666 27.778218
256 310 1668 27.811565
256 310 1669 27.828238
326 280 1688 28.145037
340 274 1693 28.228405
340 274 1694 28.245078
342 272 1695 28.261752
354 270 1705 28.428488
354 270 1706 28.445162
354 270 1707 28.461835
356 268 1712 28.545203
354 266 1713 28.561877
354 266 1714 28.578550
354 266 1715 28.595224
354 266 1717 28.628571
356 266 1718 28.645245
356 266 1719 28.661918
354 266 1720 28.678592
354 266 1723 28.728613
354 266 1724 28.745286
356 268 1730 28.845328
356 268 1731 28.862002
356 264 1737 28.962043
356 264 1739 28.995390
356 264 1740 29.012064
356 266 1743 29.062085
356 266 1744 29.078758
358 264 1746 29.112106
356 264 1747 29.128779
356 264 1748 29.145453
356 264 1749 29.162126
354 264 1760 29.345536
354 264 1761 29.362210
350 264 1763 29.395557
346 266 1766 29.445578
344 264 1767 29.462251
344 264 1768 29.478925
318 272 1778 29.645661
316 274 1779 29.662334
276 280 1792 29.879091
276 280 1793 29.895765
270 282 1795 29.929112
266 280 1796 29.945786
254 284 1801 30.029154
254 284 1802 30.045827
244 284 1809 30.162542
242 288 1810 30.179216
242 288 1811 30.195890
242 286 1813 30.229237
240 288 1816 30.279258
242 286 1817 30.295931
240 286 1818 30.312605
240 286 1819 30.329278
242 286 1820 30.345952
242 288 1829 30.496014
244 288 1831 30.529362
244 288 1832 30.546035
242 288 1843 30.729445
242 290 1844 30.746118
242 290 1845 30.762792
242 288 1849 30.829486
242 286 1850 30.846160
240 286 1851 30.862834
240 286 1852 30.879507
242 284 1853 30.896181
244 280 1856 30.946202
244 280 1857 30.962875
242 272 1863 31.062917
242 272 1864 31.079590
242 264 1868 31.146285
242 264 1869 31.162958
244 258 1871 31.196306
242 252 1875 31.263000
242 248 1876 31.279674
244 238 1881 31.363042
244 238 1882 31.379715
242 232 1884 31.413062
244 230 1888 31.479757
244 230 1889 31.496430
246 226 1890 31.513104
244 220 1895 31.596472
244 218 1903 31.729861
244 216 1909 31.829902
244 216 1910 31.846576
244 216 1911 31.863250
242 216 1915 31.929944
244 214 1917 31.963291
244 216 1921 32.029986
246 214 1922 32.046659
246 214 1923 32.063333
246 214 1929 32.163374
246 214 1933 32.230069
244 214 1934 32.246742
244 214 1935 32.263416
246 214 1943 32.396805
246 214 1944 32.413478
246 216 1945 32.430152
248 216 1946 32.446826
252 216 1949 32.496846
252 214 1950 32.513520
256 214 1952 32.546867
256 214 1953 32.563541
258 216 1954 32.580214
262 214 1956 32.613562
262 214 1957 32.630235
268 212 1958 32.646909
278 212 1963 32.730277
280 210 1964 32.746950
280 210 1965 32.763624
286 208 1967 32.796971
290 210 1968 32.813645
290 210 1969 32.830318
292 210 1970 32.846992
304 206 1975 32.930360
312 206 1979 32.997054
316 202 1981 33.030402
316 202 1982 33.047075
322 202 1985 33.097096
322 202 1986 33.113770
326 200 1991 33.197138
330 200 1996 33.280506
330 202 1998 33.313853
330 202 1999 33.330526
332 200 2001 33.363874
332 200 2005 33.430568
334 200 2012 33.547283
338 200 2014 33.580630
338 200 2015 33.597304
338 200 2017 33.630651
340 200 2018 33.647325
340 200 2019 33.663998
340 198 2020 33.680672
340 198 2021 33.697346
342 198 2026 33.780714
342 200 2029 33.830734
342 200 2030 33.847408
342 200 2031 33.864082
342 198 2032 33.880755
340 200 2037 33.964123
340 206 2043 34.064165
340 206 2044 34.080838
338 210 2045 34.097512
336 214 2047 34.130859
324 258 2062 34.380963
318 280 2068 34.481005
316 284 2069 34.497678
316 284 2070 34.514352
316 288 2071 34.531026
314 292 2072 34.547699
314 298 2073 34.564373
314 298 2074 34.581046
310 308 2077 34.631067
310 308 2078 34.647741
308 320 2082 34.714435
308 320 2083 34.731109
306 320 2084 34.747782
302 326 2091 34.864498
304 328 2096 34.947866
304 328 2098 34.981213
304 328 2099 34.997886
302 328 2109 35.164622
302 328 2114 35.247990
302 328 2125 35.431400
302 330 2131 35.531442
302 330 2132 35.548115
296 328 2138 35.648157
288 330 2143 35.731525
270 326 2153 35.898261
270 326 2154 35.914934
264 320 2156 35.948282
264 320 2157 35.964955
256 322 2160 36.014976
256 322 2161 36.031650
254 318 2162 36.048323
250 318 2163 36.064997
246 320 2164 36.081670
242 316 2167 36.131691
234 316 2171 36.198386
230 312 2173 36.231733
226 312 2174 36.248406
226 312 2175 36.265080
216 310 2185 36.431816
216 310 2186 36.448490
216 310 2190 36.515184
216 310 2191 36.531858
216 310 2197 36.631899
214 310 2204 36.748614
214 308 2206 36.781962
214 308 2207 36.798635
214 308 2215 36.932024
214 308 2216 36.948698
214 308 2226 37.115434
214 308 2229 37.165454
218 304 2233 37.232149
222 302 2235 37.265496
224 300 2236 37.282170
224 300 2237 37.298843
230 296 2240 37.348864
230 296 2241 37.365538
238 288 2244 37.415558
238 288 2245 37.432232
254 278 2251 37.532274
260 272 2254 37.582294
292 248 2270 37.849072
292 248 2271 37.865746
296 248 2272 37.882419
300 242 2277 37.965787
300 242 2278 37.982461
300 242 2279 37.999134
302 244 2280 38.015808
302 242 2281 38.032482
302 244 2290 38.182544
302 244 2291 38.199218
302 244 2295 38.265912
302 244 2296 38.282586
302 244 2298 38.315933
302 244 2299 38.332606
302 244 2300 38.349280
302 244 2307 38.465995
302 244 2308 38.482669
302 246 2313 38.566037
302 244 2314 38.582710
300 246 2318 38.649405
302 246 2331 38.866162
302 246 2335 38.932856
302 246 2336 38.949530
302 246 2337 38.966203
302 246 2339 38.999550
302 246 2340 39.016224
304 246 2341 39.032898
302 246 2347 39.132939
302 248 2350 39.182960
304 248 2351 39.199634
304 248 2352 39.216307
304 248 2353 39.232981
